	#	Owner	Build name	Sets	Crit RatioCrit ValueCrit RateCrit DMG	Max HP	ATK	DEF	EM	ER%	Unnamed: 10
2237	2239	EU호두킹	Hu Tao	4	84.3 : 249.3 253.4 cv	32531	1682	942	112	105.8%	51724
2238	2240	ASIAえるぜりおん	Hu Tao	4	76.5 : 243.1 231.6 cv	34915	1958	913	86	100.0%	51724
2239	2241	ASIA青眼の白鷺姫	Hu Tao	4	69.9 : 226.8 202.1 cv	32474	1785	911	231	100.0%	51723
2240	2242	NABigAl	Hu Tao	4	80.4 : 206.6 202.9 cv	27704	1817	897	311	100.0%	51723
2241	2243	EU	Hu Tao	4	79.6 : 222.1 216.9 cv	31893	1781	913	179	120.1%	51723
2242	2244	ASIAmsomakase	SR4 Hu tao	4	75.8 : 211.3 198.2 cv	32380	1920	966	196	100.0%	51723
2243	2245	NAButterfer0808	Better Goblet	4	80.0 : 204.3 199.8 cv	30992	1838	895	250	100.0%	51722
2244	2246	NAじゆん!	Hu Tao	4	76.5 : 275.8 264.3 cv	33773	1888	1049	227	100.0%	51719
2245	2247	NASolten	Hu Tao	4	70.3 : 226.8 202.9 cv	29698	1726	972	292	123.3%	51719
2246	2248	ASIAᵀᵒʳᶤ｡•	Hu Tao	4	70.7 : 262.6 239.4 cv	32313	1767	1021	152	100.0%	51717
2247	2249	ASIA鬼	Hu Tao	4	71.5 : 239.2 217.7 cv	32420	1796	964	187	106.5%	51717
2248	2250	ASIAcÁnkut	Hu Tao	4	70.7 : 219.8 196.7 cv	33140	1821	1082	224	105.8%	51717
2249	2251	"""ASIA""""Pino"""""""	Hu Tao	4	74.2 : 267.2 251.1 cv	29727	1612	920	208	111.0%	51717
2250	2252	EUSLicka	Hu Tao	4	79.3 : 200.4 194.4 cv	35404	1917	1000	161	105.2%	51716
2251	2253	ASIANoah	Hu Tao	4	71.9 : 226.8 206.0 cv	27614	2044	913	227	100.0%	51716
2252	2254	EUDreamzi	Hu Tao	4	73.8 : 243.9 227.0 cv	31714	1835	1087	161	106.5%	51714
2253	2255	NASwallow	Hu Tao	4	66.0 : 261.8 229.3 cv	28240	1725	909	266	104.5%	51713
2254	2256	ASIABuTawツ	Hu Tao	4	76.2 : 237.7 225.4 cv	26333	1823	920	243	100.0%	51713
2255	2257	NAjinjin	Hu Tao	4	76.5 : 246.2 234.8 cv	33320	1697	973	159	100.0%	51712
2256	2258	ASIA翁	Hu Tao	4	76.5 : 255.6 244.1 cv	27454	1670	943	243	100.0%	51712
2257	2259	NAKebin	Hu Tao	4	78.9 : 234.6 227.8 cv	31893	1824	975	147	110.4%	51711
2258	2260	ASIA나그네	Hu Tao	4	73.0 : 250.9 232.4 cv	25853	1673	1069	290	110.4%	51709
2259	2261	ASIA초록콩잎	Hu Tao	4	75.0 : 245.5 230.9 cv	27906	1678	876	276	111.0%	51708
2260	2262	ASIAReVoltage	Hu Tao	4	67.6 : 216.7 187.3 cv	30601	1757	1001	322	116.8%	51707
2261	2263	ASIAReVoltage	Hu Tao	4	67.6 : 216.7 187.3 cv	30601	1757	1001	322	116.8%	51707
2262	2264	ASIAPrixivus	Hu Tao	4	78.5 : 225.3 217.7 cv	28517	1730	957	245	105.2%	51705
2263	2265	NAZura	Hu Tao	4	78.9 : 243.9 237.1 cv	31983	1778	916	135	106.5%	51704
2264	2266	ASIAKudonee	Hu Tao	4	72.7 : 250.1 230.9 cv	34012	1638	1043	184	100.0%	51704
2265	2267	ASIA라비	Hu Tao	4	71.1 : 237.7 215.3 cv	33670	1700	920	219	100.0%	51704
2266	2268	ASIA마키마	Hu Tao	4	69.9 : 243.1 218.4 cv	32866	1962	1035	149	100.0%	51702
2267	2269	NAAsurendra	Hu Tao	4	78.1 : 246.2 237.9 cv	23981	1773	876	262	117.5%	51702
2268	2270	NA딸단	Hu Tao	4	61.0 : 274.2 231.6 cv	28248	1881	927	243	106.5%	51701
2269	2271	ASIAななの	Hu Tao	4	69.9 : 280.5 255.8 cv	27731	1673	1041	210	106.5%	51700
2270	2272	ASIAPotchiඞ	Hu Tao	4	78.5 : 230.7 223.1 cv	33135	1846	964	138	111.7%	51699
2271	2273	EUAiden	Hu Tao	4	80.1 : 211.3 206.8 cv	28000	1740	1147	280	100.0%	51698
2272	2274	EUJake	Hu Tao	4	82.8 : 198.9 199.8 cv	33285	1753	981	205	122.7%	51695
2273	2275	ASIAKira	Hu Tao	4	71.5 : 258.7 237.2 cv	27006	1722	973	245	100.0%	51691
2274	2276	ASIA임티	Hu Tao	4	74.2 : 208.9 192.8 cv	28505	1743	876	329	114.9%	51690
2275	2277	ASIAあもも	Hu Tao	4	68.4 : 235.4 207.6 cv	35244	1892	940	161	100.0%	51690
2276	2278	NAStratos	Hu Tao	4	80.4 : 254.0 250.3 cv	33972	1836	957	75	100.0%	51689
2277	2279	ASIAホタル	Hu Tao	4	78.1 : 249.3 241.0 cv	28813	1631	899	231	106.5%	51689
2278	2280	NAOddeye	Hu Tao	4	66.0 : 231.5 199.0 cv	30351	1785	876	290	104.5%	51689
2279	2281	NAJohn	Hu Tao	4	71.9 : 232.3 211.4 cv	32625	1693	899	248	105.8%	51688
2280	2282	EUGeorge	Hu Tao	4	66.4 : 222.9 191.2 cv	28367	2004	876	283	100.0%	51684
2281	2283	NAAndwo	Hu Tao	4	74.2 : 212.1 195.9 cv	28325	1772	940	313	111.7%	51683
2282	2284	ASIACromCruach	Hu Tao	4	72.7 : 240.0 220.8 cv	32408	1746	876	207	100.0%	51682
2283	2285	NALuke9744	Hu Tao (w/ Homa)	4	75.8 : 243.9 230.9 cv	32401	1900	899	126	100.0%	51682
2284	2286	ASIAすけ	Hu Tao	4	76.2 : 262.6 250.3 cv	26160	1735	997	208	105.2%	51680
2285	2287	EUПасюк	Hu Tao	4	67.2 : 258.7 228.5 cv	35424	1796	876	152	100.0%	51680
2286	2288	ASIA사나	Hu Tao	4	78.1 : 203.5 195.1 cv	28904	1662	895	376	100.0%	51679
2287	2289	ASIAFinal	Hu Tao	4	66.4 : 240.0 208.3 cv	34771	1819	957	186	113.0%	51679
2288	2290	EUHakugami	Hu Tao	4	72.3 : 267.2 247.2 cv	34224	1870	1010	91	105.8%	51678
2289	2291	ASIAしか	Hu Tao	4	71.1 : 233.0 210.7 cv	36312	1779	892	170	100.0%	51677
2290	2292	NAGin	EM	4	58.3 : 303.8 255.8 cv	25405	1696	916	315	106.5%	51677
2291	2293	NAV	Hu Tao	4	71.5 : 261.8 240.2 cv	32408	1772	959	145	100.0%	51676
2292	2294	ASIATurbo	Hu Tao	4	70.3 : 239.3 215.3 cv	29970	1631	909	315	104.5%	51675
2293	2295	ASIANcaMoq	Hu Tao	4	80.4 : 223.7 220.0 cv	27365	1666	1026	273	117.5%	51675
2294	2296	ASIAタッツー	Hu Tao	4	80.0 : 256.3 251.9 cv	35371	1752	916	75	100.0%	51675
2295	2297	EUAkara	Hu Tao	4	72.3 : 205.1 185.1 cv	34731	1793	956	233	105.8%	51674
2296	2298	ASIAリヤ	Hu Tao	4	73.4 : 250.1 232.4 cv	29149	1679	1017	224	112.3%	51674
2297	2299	EUfarlig	Hu Tao	4	79.7 : 220.6 215.3 cv	33075	1818	966	159	111.7%	51673
2298	2300	ASIAりんご	Hu Tao	4	73.8 : 257.1 240.2 cv	32620	1818	959	126	111.0%	51672
2299	2301	ASIATanish	Hu Tao	4	78.5 : 239.2 231.6 cv	35431	1696	897	131	113.0%	51672
2300	2302	NAMaChooChoo	Hu Tao	4	76.2 : 226.8 214.6 cv	26615	1833	946	264	105.8%	51672
2301	2303	EUMrCarlet	Hu Tao	4	65.3 : 284.3 250.3 cv	29790	1751	934	210	100.0%	51672
2302	2304	ASIAAzz-Sama	Hu Tao	4	84.7 : 228.4 233.2 cv	32956	1889	992	100	106.5%	51671
2303	2305	ASIAにんにく	Hu Tao	4	83.5 : 224.5 227.0 cv	29867	1721	1001	210	100.0%	51671
2304	2306	NABorja	Hu Tao	4	81.2 : 222.9 220.8 cv	23443	1883	892	278	131.8%	51670
2305	2307	EUAgnes	Hu Tao	4	82.0 : 222.2 221.6 cv	29362	1573	918	287	112.3%	51670
2306	2308	ASIARealTrap	Hu Tao	4	62.9 : 275.0 236.3 cv	27706	1761	979	264	106.5%	51669
2307	2309	EUSpartan	Hu Tao	4	70.3 : 252.5 228.6 cv	28337	1713	929	250	105.2%	51669
2308	2310	NACredelle	Hu Tao	4	57.9 : 222.9 174.1 cv	32345	1820	876	355	116.2%	51669
2309	2311	NAShuyrna	Hu Tao	4	75.8 : 205.1 192.0 cv	30568	1958	892	229	118.1%	51665
2310	2312	ASIASkwek	Hu Tao	4	82.8 : 226.8 227.8 cv	33526	1918	892	103	106.5%	51665
2311	2313	NAPyramidas	Hu Tao	4	69.5 : 241.6 216.1 cv	26092	1777	897	311	106.5%	51665
2312	2314	EUKoko_713	Hu Tao	4	83.2 : 205.8 207.6 cv	29182	1742	1025	250	105.8%	51665
2313	2315	NARod3	Hu Tao	4	84.7 : 195.0 199.8 cv	30253	1736	876	287	106.5%	51661
2314	2316	NAAtr	Hu Tao	4	84.7 : 203.5 208.4 cv	36004	1728	920	163	104.5%	51661
2315	2317	ASIAArus	Hu Tao	4	75.0 : 257.1 242.5 cv	30862	1619	913	203	100.0%	51661
2316	2318	ASIAEcclaire	Hu Tao	4	72.7 : 217.5 198.2 cv	35496	1838	921	196	105.8%	51660
2317	2319	NAGelato	Hu Tao	4	68.0 : 240.8 212.2 cv	30057	1778	960	252	122.7%	51658
2318	2320	NANoire	Hu Tao	4	73.8 : 244.7 227.8 cv	34254	1866	892	121	109.7%	51657
2319	2321	NAᴛᴢʏ	Hu Tao	4	75.0 : 254.8 240.2 cv	31594	1817	999	135	100.0%	51657
2320	2322	ASIASeraph	Hu Tao	4	69.9 : 240.0 215.3 cv	26253	1707	994	332	105.8%	51657
2321	2323	EUWolfyKitten	Hu Tao	4	67.6 : 243.1 213.8 cv	26941	1735	985	322	115.5%	51656
2322	2324	ASIA.	Hu Tao	4	76.2 : 228.4 216.1 cv	27853	1865	943	229	110.4%	51654
2323	2325	ASIAWaifu	Hu Tao	4	72.7 : 257.2 237.9 cv	25074	1772	961	259	119.4%	51653
2324	2326	NAAria	Hu Tao	4	73.0 : 236.9 218.4 cv	35611	1879	1042	124	100.0%	51653
2325	2327	EULok	Hu Tao	4	70.3 : 263.3 239.4 cv	28570	1559	950	297	100.0%	51652
2326	2328	ASIAbobokaka	Hu Tao	4	78.5 : 227.6 220.0 cv	25153	1782	876	285	115.5%	51652
2327	2329	ASIA양념치킨	Hu Tao	4	71.5 : 236.2 214.6 cv	31138	1814	943	207	105.8%	51651
2328	2330	ASIAisac	Hu Tao - main	4	83.2 : 219.0 220.8 cv	35516	1972	897	86	100.0%	51651
2329	2331	NAJunko	Hu Tao	4	90.5 : 205.1 221.6 cv	26343	1811	1104	229	106.5%	51650
2330	2332	EUДилдак	Hu Tao	4	71.5 : 230.7 209.1 cv	28430	1789	1145	273	100.0%	51650
2331	2333	EURéda	Hu Tao	4	69.9 : 268.0 243.3 cv	32441	1847	977	128	104.5%	51650
2332	2334	EUKotori	Hu Tao	4	71.5 : 260.2 238.6 cv	28172	1655	876	269	100.0%	51649
2333	2335	NAFading	Hu Tao	4	78.1 : 203.5 195.1 cv	30241	1915	972	231	105.8%	51649
2334	2336	NAKenyon	Hu Tao	4	75.4 : 264.1 250.3 cv	24914	1706	876	241	111.0%	51649
2335	2337	EUf1azare	Hu Tao	4	77.3 : 233.0 223.1 cv	26398	1745	1037	266	100.0%	51648
2336	2338	EUOutlaw	Hu Tao	4	73.0 : 258.7 240.2 cv	32983	1781	1058	131	100.0%	51648
2337	2339	ASIACreepyBuns	Hu Tao	4	74.2 : 259.4 243.3 cv	24498	1923	973	208	100.0%	51647
2338	2340	NAbucket	Hu Tao	4	71.9 : 212.1 191.2 cv	32886	1869	1012	226	100.0%	51647
2339	2341	NAPeyeyo	Hu Tao	4	68.0 : 271.1 242.5 cv	32500	1694	973	184	106.5%	51646
2340	2342	EUwhoTao?	Hu Tao	4	73.0 : 239.2 220.8 cv	31985	1810	1008	177	100.0%	51644
2341	2343	ASIAShiori	Hu Tao	4	87.0 : 233.0 242.6 cv	27276	1596	955	243	105.8%	51644
2342	2344	ASIA리나리아	Hu Tao	4	81.2 : 246.2 244.1 cv	34977	1673	940	107	116.8%	51643
2343	2345	EUYellowjuice	Hu Tao	4	70.7 : 248.6 225.4 cv	33340	1692	918	200	106.5%	51642
2344	2346	NASukuna	Hu Tao	4	71.1 : 240.0 217.7 cv	29113	1678	892	271	121.4%	51642
2345	2347	ASIATheEnd	Hu Tao	4	79.3 : 205.8 199.8 cv	26122	1808	916	320	100.0%	51642
2346	2348	ASIAjeddisorange	Hu Tao	4	83.5 : 215.2 217.7 cv	32141	1758	985	189	120.7%	51641
2347	2349	ASIAsevi	Hu Tao	4	78.5 : 246.3 238.7 cv	34879	1782	944	98	105.8%	51638
2348	2350	EUBang	Hu Tao	4	70.3 : 238.5 214.6 cv	29426	1713	957	266	111.0%	51637
2349	2351	NApxke	Hu Tao	4	77.7 : 264.1 255.0 cv	26338	1743	1074	187	100.0%	51637
2350	2352	ASIAliss	Hu Tao	4	75.0 : 240.8 226.2 cv	32951	1634	987	205	100.0%	51637
2351	2353	NA赤座五月	Hu Tao	4	73.0 : 209.7 191.3 cv	34796	1981	939	172	100.0%	51636
2352	2354	ASIAGấu	Hu Tao	4	73.8 : 243.9 227.0 cv	29028	1712	1016	229	105.2%	51634
2353	2355	ASIAEX-Luck	Hu Tao	4	73.0 : 255.6 237.1 cv	28273	1599	963	283	100.0%	51633
2354	2356	EUBlack	Hu Tao	4	70.3 : 241.6 217.7 cv	29002	1939	876	206	106.5%	51633
2355	2357	ASIAジェームズ	Hu Tao	4	69.2 : 231.5 205.2 cv	28726	1671	940	325	122.7%	51633
2356	2358	ASIA❖⃣❖森❖⃣❖	Hu Tao	4	79.3 : 231.5 225.4 cv	32049	1841	955	145	112.3%	51633
2357	2359	ASIAぬこ	Hu Tao	4	73.0 : 218.3 199.8 cv	32978	1785	876	219	122.0%	51633
2358	2360	EUJargneau	Hu Tao	4	68.8 : 220.6 193.6 cv	32681	1900	876	224	100.0%	51632
2359	2361	EULaCosta	Hu Tao	4	67.2 : 254.8 224.6 cv	26978	1679	1042	311	100.0%	51631
2360	2362	ASIA크탈	Hu Tao	4	71.5 : 241.6 220.0 cv	31796	1797	959	189	105.2%	51630
2361	2363	NAAdventurous	Hu Tao	4	80.8 : 259.5 256.5 cv	24984	1708	1089	206	114.9%	51628
2362	2364	ASIAsawara	Hu Tao	4	82.4 : 222.9 223.1 cv	29972	1657	897	241	106.5%	51628
2363	2365	EUZen	Hu Tao	4	72.3 : 212.8 192.8 cv	31982	1855	1027	238	100.0%	51627
2364	2366	NAJaz	Hu Tao	4	74.2 : 230.7 214.6 cv	29411	1829	899	222	100.0%	51626
2365	2367	NARobMD	Hu Tao	4	69.5 : 231.5 206.0 cv	36243	1824	1007	161	100.0%	51625
2366	2368	ASIAmomozin	Hu Tao	4	83.6 : 229.9 232.5 cv	25824	1782	1026	224	116.8%	51624
2367	2369	ASIALuffy	Hu Tao	4	79.3 : 233.0 227.0 cv	32042	1871	940	135	100.0%	51623
2368	2370	NABardalicious	Hu Tao Shitmenawa	4	79.3 : 249.4 243.3 cv	32015	1863	996	105	100.0%	51623
2369	2371	ASIABủBủLờMao	Hu Tao	4	80.0 : 250.9 246.4 cv	28339	1586	939	231	109.1%	51622
2370	2372	NADJSWAG98	Hu Tao	4	77.7 : 247.0 237.9 cv	32647	1898	876	105	100.0%	51621
2371	2373	EURngesus	Hu Tao	4	69.9 : 229.1 204.4 cv	32746	1775	943	222	106.5%	51621
2372	2374	EUAn	Hu Tao	4	80.8 : 213.6 210.7 cv	29699	1682	1046	283	106.5%	51621
2373	2375	ASIA유닉	Hu Tao	4	81.2 : 224.5 222.4 cv	25709	1652	1020	301	111.0%	51620
2374	2376	ASIAlenin	Hu Tao	4	73.4 : 232.3 214.6 cv	27520	1762	1082	276	117.5%	51618
2375	2377	EUTрaвмatolog	Hu Tao	4	71.1 : 232.3 209.9 cv	28777	1686	997	297	112.3%	51617
2376	2378	ASIABeepb0p	Hu Tao	4	73.0 : 233.0 214.5 cv	33374	1863	899	161	100.0%	51617
2377	2379	EU异闻	Hu Tao	4	71.1 : 256.4 234.0 cv	29546	1626	952	264	100.0%	51617
2378	2380	ASIA판도라	Hu Tao	4	81.2 : 226.8 224.7 cv	26338	1706	1030	264	100.0%	51617
2379	2381	EUMathreus	Hu Tao	4	74.6 : 265.7 250.3 cv	28158	1650	971	224	100.0%	51616
2380	2382	NAAlice	Hu Tao	4	70.3 : 257.9 234.0 cv	25096	1722	916	294	111.0%	51615
2381	2383	ASIALizrit	Hu Tao	4	71.1 : 212.1 189.7 cv	31719	1860	1001	252	100.0%	51615
2382	2384	ASIAMal	Hu Tao	4	71.5 : 239.3 217.7 cv	26734	1737	966	297	122.0%	51614
2383	2385	NASuris	Hu Tao	4	77.7 : 227.6 218.4 cv	28751	1777	918	227	100.0%	51613
2384	2386	NANoah	Hu Tao	4	72.7 : 244.7 225.4 cv	26372	1766	1029	269	111.7%	51611
2385	2387	NAEnyerson	Hu Tao	4	78.5 : 219.8 212.2 cv	30568	1747	876	245	105.2%	51610
2386	2388	ASIASagittarius	Hu Tao	4	74.2 : 219.1 202.9 cv	29628	1926	950	224	100.0%	51610
2387	2389	EUchristea	Hu Tao	4	74.2 : 219.1 202.9 cv	33261	1701	920	250	105.8%	51609
2388	2390	NAPhoenix	Hu Tao	4	72.7 : 233.8 214.6 cv	27123	1713	946	301	111.0%	51609
2389	2391	NAGaSpacewool	Hu Tao	4	67.6 : 241.6 212.2 cv	31811	1618	918	301	106.5%	51609
2390	2392	ASIATakagi-san	Hu Tao	4	82.0 : 216.7 216.1 cv	27608	1631	895	325	109.1%	51608
2391	2393	NAMEGUMIN	Hu Tao	4	61.4 : 255.6 213.8 cv	28816	1765	997	306	100.0%	51608
2392	2394	ASIACoco	Hu Tao	4	88.6 : 203.5 216.2 cv	28521	1721	981	262	100.0%	51606
2393	2395	EUKurokinari	Hu Tao	4	78.5 : 225.3 217.7 cv	27455	1535	1014	371	110.4%	51604
2394	2396	EUUrim	Hu Tao	4	89.0 : 226.8 240.2 cv	33347	1858	1055	82	100.0%	51602
2395	2397	ASIAmakki	Hu Tao	4	63.7 : 248.6 211.5 cv	34045	1843	988	193	105.2%	51601
2396	2398	EUTraveler	Hu Tao	4	68.4 : 254.0 226.2 cv	29329	1790	955	224	100.0%	51599
2397	2399	ASIAFae	Hu Tao	4	80.4 : 247.8 244.1 cv	27026	1641	1036	220	124.0%	51599
2398	2400	ASIA재재	Hu Tao	4	71.9 : 252.5 231.7 cv	34915	1847	895	114	100.0%	51598
2399	2401	ASIATamaya	Hu Tao	4	54.8 : 269.6 214.6 cv	29155	1732	895	353	100.0%	51598
2400	2402	EUNozomi	Hu Tao	4	71.1 : 223.7 201.3 cv	30059	1789	876	266	122.7%	51595
2401	2403	EUDonat	Hu Tao	4	75.8 : 238.5 225.5 cv	29629	1734	1010	210	111.0%	51594
2402	2404	EUAimin	Hu Tao	4	73.8 : 216.7 199.8 cv	31872	1803	1052	229	105.2%	51594
2403	2405	EUHinode	Hu Tao	4	67.2 : 252.5 222.3 cv	27367	1821	956	264	106.5%	51593
2404	2406	ASIADamslette	Hu Tao	4	89.4 : 207.4 221.6 cv	26003	1720	985	294	104.5%	51592
2405	2407	ASIADamselette	Hu Tao	4	72.3 : 232.3 212.2 cv	33078	1621	953	255	104.5%	51590
2406	2408	EUKurumi_enjoyer	Hu Tao	4	76.2 : 232.3 220.0 cv	25970	1733	876	290	111.7%	51589
2407	2409	EU♈Revenger♈	Hu Tao	4	75.8 : 219.0 206.0 cv	30060	1617	1080	327	100.0%	51588
2408	2410	ASIA時雨	Hu Tao	4	65.3 : 258.7 224.6 cv	30933	1811	934	210	100.0%	51588
2409	2411	ASIAdarkash	Hu Tao	4	74.2 : 249.4 233.2 cv	28931	1607	876	271	105.2%	51587
2410	2412	NATrueJx20	Hu Tao	4	60.6 : 254.8 211.4 cv	29000	1786	899	306	106.5%	51587
2411	2413	NARegent	Hu Tao	4	76.9 : 226.8 216.1 cv	32440	1651	1116	231	100.0%	51586
2412	2414	EUAhjin	Hu Tao	4	84.7 : 219.0 223.9 cv	32829	1818	918	145	104.5%	51586
2413	2415	NAChessy	Hu Tao	4	72.7 : 205.1 185.8 cv	33157	1951	1017	214	100.0%	51584
2414	2416	ASIAKakigori	Hu Tao	4	70.7 : 226.0 202.9 cv	28333	1790	974	294	100.0%	51583
2415	2417	ASIAKaedehara^-^	Hu Tao	4	73.8 : 240.8 223.9 cv	29212	1651	963	280	111.0%	51583
2416	2418	NABumi	Hu Tao	4	75.8 : 247.0 234.0 cv	28124	1640	876	269	109.7%	51582
2417	2419	NAZedphy	Hu Tao	4	72.7 : 240.8 221.6 cv	26069	1735	909	294	123.3%	51582
2418	2420	NAWeeabooJones	Hu Tao	4	91.7 : 213.6 232.4 cv	27086	1552	959	287	105.8%	51582
2419	2421	NAOinahri	CW is scam, SR is cringe	4	92.1 : 209.7 229.4 cv	34315	1942	916	77	105.8%	51582
2420	2422	NAShuichi	Hu Tao	4	73.4 : 246.3 228.5 cv	29147	1781	937	206	100.0%	51581
2421	2423	NAVexaKM	Hu Tao	4	78.9 : 215.9 209.1 cv	29716	1576	940	329	106.5%	51581
2422	2424	ASIA아이테르	Hu Tao	4	72.7 : 232.2 213.0 cv	29608	1838	943	224	116.8%	51579
2423	2425	ASIALaplace	Hu Tao	4	75.8 : 226.8 213.8 cv	35551	1794	936	142	116.2%	51579
2424	2426	NAAahan	Hu Tao 2	4	85.9 : 215.2 222.3 cv	33255	1890	941	117	106.5%	51578
2425	2427	EUKupe	Hu Tao	4	85.5 : 234.6 241.0 cv	26123	1716	1111	210	100.0%	51577
2426	2428	ASIAAslan	Hu Tao	4	73.8 : 246.2 229.3 cv	28936	1789	911	227	100.0%	51575
2427	2429	NALiberator	Hu Tao	4	83.2 : 220.6 222.3 cv	31623	1829	1000	152	100.0%	51574
2428	2430	EUPuppy	Hu Tao	4	73.4 : 247.0 229.3 cv	28304	1736	895	229	120.7%	51574
2429	2431	CN流光	Hu Tao	4	64.1 : 243.9 207.5 cv	27976	1815	942	308	105.8%	51574
2430	2432	EUElendVencher	Hu Tao	4	68.8 : 243.9 216.9 cv	26481	1743	897	313	106.5%	51574
2431	2433	ASIAiamendy	Hu Tao	4	70.7 : 246.3 223.1 cv	31654	1793	916	186	106.5%	51574
2432	2434	NAglitch	Hu Tao	4	74.6 : 255.6 240.3 cv	25437	1685	954	264	111.0%	51573
2433	2435	NAAedeagus	Hu Tao	4	81.2 : 232.3 230.1 cv	34459	1685	899	142	100.0%	51573
2434	2436	EUPristine	Hu Tao	4	70.3 : 269.6 245.7 cv	27158	1643	987	248	116.2%	51573
2435	2437	EUJASON	Hu Tao	4	68.4 : 270.4 242.6 cv	27120	1784	995	224	100.0%	51572
2436	2438	NADankDank	Hu Tao	4	73.8 : 250.9 234.0 cv	29486	1685	1100	210	110.4%	51570
2437	2439	ASIAJohnn	Hu Tao	4	62.9 : 285.9 247.2 cv	30516	1650	985	245	105.8%	51566
2438	2440	NALelouchWick	Hu Tao	4	66.8 : 229.2 198.2 cv	34372	1957	940	182	100.0%	51566
2439	2441	ASIACaFFe-LaAtTe	Hu Tao	4	84.3 : 211.3 215.4 cv	34858	1844	932	124	104.5%	51565
2440	2442	ASIAtmaccraig	Hu Tao	4	83.2 : 235.3 237.1 cv	34588	1874	895	79	110.4%	51565
2441	2443	EUminaplex	Hu Tao	4	87.8 : 212.0 223.1 cv	28302	1840	957	187	100.0%	51563
2442	2444	ASIARain	Hu Tao	4	76.9 : 221.4 210.7 cv	24399	1646	959	385	111.7%	51562
2443	2445	NAB00thblast0r	Hu Tao	4	68.4 : 256.3 228.5 cv	27342	1613	1041	348	100.0%	51560
2444	2446	NADaemonist	Hu Tao	4	77.7 : 251.7 242.5 cv	33320	1816	976	103	106.5%	51559
2445	2447	ASIA美坂	Hu Tao	4	75.0 : 232.3 217.7 cv	27763	1720	948	269	109.1%	51558
2446	2448	ASIAねむいや	Hu Tao	4	79.7 : 272.7 267.4 cv	34522	1684	942	68	106.5%	51557
2447	2449	NAxpr	Hu Tao	4	89.4 : 216.0 230.2 cv	30929	1973	1078	107	100.0%	51556
2448	2450	EUagli	Hu Tao	4	64.9 : 252.5 217.7 cv	27520	1946	892	248	112.3%	51556
2449	2451	ASIAN	Hu Tao	4	81.6 : 246.2 244.9 cv	33071	1654	940	133	112.3%	51555
2450	2452	CN泷川翼	Hu Tao	4	71.1 : 229.9 207.5 cv	32497	1839	954	198	121.4%	51555
2451	2453	NAspring	Hu Tao	4	86.7 : 230.7 239.5 cv	27394	1552	1042	264	105.2%	51552
2452	2454	ASIABlonde48	Hu Tao	4	72.3 : 263.3 243.3 cv	26695	1703	876	236	104.5%	51552
2453	2455	EUAether	Hu Tao	4	63.7 : 260.2 223.1 cv	28538	1772	1024	271	106.5%	51551
2454	2456	ASIAPanformto	Hu Tao	4	65.3 : 233.0 199.0 cv	33739	1729	895	277	100.0%	51551
2455	2457	ASIAねこまろ。	Hu Tao	4	77.3 : 240.8 230.9 cv	30897	1617	959	224	100.0%	51551
2456	2458	EUˢʰᵃᵈᵉ	Hu Tao	4	78.9 : 218.3 211.5 cv	33855	1703	921	200	100.0%	51550
2457	2459	ASIALumine	Hu Tao	4	69.5 : 236.1 210.7 cv	31839	1693	911	271	100.0%	51550
2458	2460	NABryam	Hu Tao	4	76.5 : 221.4 209.9 cv	28063	1843	967	245	105.8%	51549
2459	2461	NAMozzin	Hu Tao	4	78.1 : 222.2 213.8 cv	39237	1823	876	98	100.0%	51549
2460	2462	NAWalnut	Hu Tao	4	77.7 : 252.5 243.3 cv	30690	1705	1050	170	106.5%	51548
2461	2463	ASIA유라ㅤ로렌스	Hu Tao	4	66.0 : 257.1 224.7 cv	35005	1784	918	156	118.1%	51547
2462	2464	EUYuzu	18.03.2023 TAO VAPE	4	78.1 : 216.7 208.3 cv	31329	1787	895	208	127.2%	51546
2463	2465	ASIAChaos	Hu Tao	4	71.9 : 244.7 223.9 cv	29119	1700	987	273	100.0%	51545
2464	2466	ASIAMaiden	Hu Tao	4	72.3 : 231.5 211.5 cv	29000	1676	962	285	115.5%	51545
2465	2467	EUMario	Hu Tao	4	76.9 : 238.5 227.8 cv	32798	1698	978	179	112.3%	51545
2466	2468	EU<insert name>	Hu Tao	4	73.8 : 216.7 199.8 cv	29063	1607	916	385	104.5%	51544
2467	2469	NAVenomPuffs	Hu Tao	4	64.1 : 268.8 232.4 cv	26485	1740	1014	294	100.0%	51544
2468	2470	ASIAわおふぬ	Hu Tao	4	82.8 : 217.5 218.5 cv	28455	1666	1045	250	104.5%	51542
2469	2471	NAkilrunya	Hu Tao	4	75.8 : 246.3 233.2 cv	28602	1635	918	262	105.8%	51542
2470	2472	ASIAコマツ	Hu Tao	4	77.7 : 242.4 233.2 cv	34701	1692	921	138	106.5%	51540
2471	2473	ASIAHMD	Hu Tao	4	76.9 : 242.4 231.7 cv	26033	1671	1098	271	105.8%	51540
2472	2474	ASIAShiroNeko	Hu Tao	4	67.6 : 249.4 220.0 cv	27160	1774	1037	285	105.8%	51536
2473	2475	ASIAUncrowned	Hu Tao	4	85.5 : 243.9 250.3 cv	25310	1694	1094	206	105.2%	51535
2474	2476	EUinge009	Hu Tao	4	71.5 : 216.7 195.1 cv	34679	1975	984	168	100.0%	51535
